Binary,Function,Type,LINK,Attack
Ieexec.exe,Function: Execute,Type: ,Link:   https://lolbas-project.github.io/lolbas/Binaries/Ieexec/,ATT&CK Technique: T1218: System Binary Proxy Execution
Ilasm.exe,Function: Compile,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Ilasm/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Infdefaultinstall.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Infdefaultinstal=,ATT&CK Technique: T1218: System Binary Proxy Execution
Installutil.exe,Function: AWL bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Installutil/,ATT&CK Technique: T1218.004: InstallUtil
Installutil.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Installutil/,ATT&CK Technique: T1218.004: InstallUtil
Jsc.exe,Function: Compile,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Jsc/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Ldifde.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Ldifde/,ATT&CK Technique: T1105: Ingress Tool Transfer
Makecab.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Makecab/,ATT&CK Technique: T1564.004: NTFS File Attributes
Makecab.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Makecab/,ATT&CK Technique: T1105: Ingress Tool Transfer
Mavinject.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Mavinject/,ATT&CK Technique: T1218.013: Mavinject
Mavinject.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Mavinject/,ATT&CK Technique: T1564.004: NTFS File Attributes
Microsoft.Workflow.Compiler.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Microsoft.Workfl=,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Microsoft.Workflow.Compiler.exe,Function: AWL bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Microsoft.Workfl=,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Mmc.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Mmc/,ATT&CK Technique: T1218.014: MMC
Mmc.exe,Function: UAC bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Mmc/,ATT&CK Technique: T1218.014: MMC
MpCmdRun.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/MpCmdRun/,ATT&CK Technique: T1105: Ingress Tool Transfer
MpCmdRun.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/MpCmdRun/,ATT&CK Technique: T1564.004: NTFS File Attributes
Msbuild.exe,Function: AWL bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Msbuild/,ATT&CK Technique: T1127.001: MSBuild
Msbuild.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Msbuild/,ATT&CK Technique: T1127.001: MSBuild
Msconfig.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Msconfig/,ATT&CK Technique: T1218: System Binary Proxy Execution
Msdt.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Msdt/,ATT&CK Technique: T1218: System Binary Proxy Execution
Msdt.exe,Function: AWL bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Msdt/,ATT&CK Technique: 
Mshta.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Mshta/,ATT&CK Technique: T1218.005: Mshta
Mshta.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Mshta/,ATT&CK Technique: T1218.005: Mshta
Msiexec.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Msiexec/,ATT&CK Technique: T1218.007: Msiexec
Netsh.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Netsh/,ATT&CK Technique: T1546.007: Netsh Helper DLL
Odbcconf.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Odbcconf/,ATT&CK Technique: T1218.008: Odbcconf
OfflineScannerShell.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/OfflineScannerSh=,ATT&CK Technique: T1218: System Binary Proxy Execution
OneDriveStandaloneUpdater.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/OneDriveStandalo=,ATT&CK Technique: T1105: Ingress Tool Transfer
Pcalua.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Pcalua/,ATT&CK Technique: T1202: Indirect Command Execution
Pcwrun.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Pcwrun/,ATT&CK Technique: T1218: System Binary Proxy Execution
Pktmon.exe,Function: Reconnaissance,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Pktmon/,ATT&CK Technique: T1040: Network Sniffing
Pnputil.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Pnputil/,ATT&CK Technique: T1547: Boot or Logon Autostart Execution
Presentationhost.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Presentationhost=,ATT&CK Technique: T1218: System Binary Proxy Execution
Print.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Print/,ATT&CK Technique: T1564.004: NTFS File Attributes
Print.exe,Function: Copy,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Print/,ATT&CK Technique: T1105: Ingress Tool Transfer
PrintBrm.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/PrintBrm/,ATT&CK Technique: T1105: Ingress Tool Transfer
PrintBrm.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/PrintBrm/,ATT&CK Technique: T1564.004: NTFS File Attributes
Psr.exe,Function: Reconnaissance,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Psr/,ATT&CK Technique: T1113: Screen Capture
Rasautou.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Rasautou/,ATT&CK Technique: T1218: System Binary Proxy Execution
rdrleakdiag.exe,Function: Dump,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Rdrleakdiag/,ATT&CK Technique: T1003: OS Credential Dumping
rdrleakdiag.exe,Function: Dump,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Rdrleakdiag/,ATT&CK Technique: T1003.001: LSASS Memory
Reg.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Reg/,ATT&CK Technique: T1564.004: NTFS File Attributes
Reg.exe,Function: Credentials,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Reg/,ATT&CK Technique: T1003.002: Security Account Manager
Regasm.exe,Function: AWL bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Regasm/,ATT&CK Technique: T1218.009: Regsvcs/Regasm
Regasm.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Regasm/,ATT&CK Technique: T1218.009: Regsvcs/Regasm
Regedit.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Regedit/,ATT&CK Technique: T1564.004: NTFS File Attributes
Regini.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Regini/,ATT&CK Technique: T1564.004: NTFS File Attributes
Register-cimprovider.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Register-cimprov=,ATT&CK Technique: T1218: System Binary Proxy Execution
Regsvcs.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Regsvcs/,ATT&CK Technique: T1218.009: Regsvcs/Regasm
Regsvcs.exe,Function: AWL bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Regsvcs/,ATT&CK Technique: T1218.009: Regsvcs/Regasm
Regsvr32.exe,Function: AWL bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Regsvr32/,ATT&CK Technique: T1218.010: Regsvr32
Regsvr32.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Regsvr32/,ATT&CK Technique: T1218.010: Regsvr32
Replace.exe,Function: Copy,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Replace/,ATT&CK Technique: T1105: Ingress Tool Transfer
Replace.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Replace/,ATT&CK Technique: T1105: Ingress Tool Transfer
Rpcping.exe,Function: Credentials,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Rpcping/,ATT&CK Technique: T1003: OS Credential Dumping
Rpcping.exe,Function: Credentials,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Rpcping/,ATT&CK Technique: T1187: Forced Authentication
Rundll32.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Rundll32/,ATT&CK Technique: T1218.011: Rundll32
Rundll32.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Rundll32/,ATT&CK Technique: T1564.004: NTFS File Attributes
Runonce.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Runonce/,ATT&CK Technique: T1218: System Binary Proxy Execution
Runscripthelper.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Runscripthelper/,ATT&CK Technique: T1218: System Binary Proxy Execution
Sc.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Sc/ ,ATT&CK Technique: T1564.004: NTFS File Attributes
Schtasks.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Schtasks/,ATT&CK Technique: T1053.005: Scheduled Task
Scriptrunner.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Scriptrunner/,ATT&CK Technique: T1202: Indirect Command Execution
Scriptrunner.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Scriptrunner/,ATT&CK Technique: T1218: System Binary Proxy Execution
SettingSyncHost.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/SettingSyncHost/,ATT&CK Technique: T1218: System Binary Proxy Execution
ssh.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Ssh/,ATT&CK Technique: T1202: Indirect Command Execution
ssh.exe,Function: AWL bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Ssh/,ATT&CK Technique: T1218: System Binary Proxy Execution
Stordiag.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Stordiag/,ATT&CK Technique: T1218: System Binary Proxy Execution
SyncAppvPublishingServer.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Syncappvpublishi=,ATT&CK Technique: T1218: System Binary Proxy Execution
Ttdinject.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Ttdinject/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Tttracer.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Tttracer/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Tttracer.exe,Function: Dump,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Tttracer/,ATT&CK Technique: T1003: OS Credential Dumping
Unregmp2.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Unregmp2/,ATT&CK Technique: T1202: Indirect Command Execution
vbc.exe,Function: Compile,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Vbc/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Verclsid.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Verclsid/,ATT&CK Technique: T1218.012: Verclsid
Wab.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Wab/,ATT&CK Technique: T1218: System Binary Proxy Execution
Wlrmdr.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Wlrmdr/,ATT&CK Technique: T1202: Indirect Command Execution
Wmic.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Wmic/,ATT&CK Technique: T1564.004: NTFS File Attributes
Wmic.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Wmic/,ATT&CK Technique: T1218: System Binary Proxy Execution
WorkFolders.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/WorkFolders/,ATT&CK Technique: T1218: System Binary Proxy Execution
Wscript.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Wscript/,ATT&CK Technique: T1564.004: NTFS File Attributes
Wsreset.exe,Function: UAC bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Wsreset/,ATT&CK Technique: T1548.002: Bypass User Account Control
wuauclt.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Wuauclt/,ATT&CK Technique: T1218: System Binary Proxy Execution
Xwizard.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Xwizard/,ATT&CK Technique: T1218: System Binary Proxy Execution
Xwizard.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Xwizard/,ATT&CK Technique: T1105: Ingress Tool Transfer
fsutil.exe,Function: Blank Per LOLBAS Project,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/fsutil/,ATT&CK Technique: T1485: Data Destruction
Advpack.dll,Function: AWL bypass,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Advpack/,ATT&CK Technique: T1218.011: Rundll32
Advpack.dll,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Advpack/,ATT&CK Technique: T1218.011: Rundll32
Desk.cpl,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Desk/,ATT&CK Technique: T1218.011: Rundll32
Dfshim.dll,Function: AWL bypass,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Dfshim/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Ieadvpack.dll,Function: AWL bypass,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Ieadvpack/,ATT&CK Technique: T1218.011: Rundll32
Ieadvpack.dll,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Ieadvpack/,ATT&CK Technique: T1218.011: Rundll32
Ieframe.dll,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Ieframe/,ATT&CK Technique: T1218.011: Rundll32
Mshtml.dll,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Mshtml/,ATT&CK Technique: T1218.011: Rundll32
Pcwutl.dll,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Pcwutl/,ATT&CK Technique: T1218.011: Rundll32
Setupapi.dll,Function: AWL bypass,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Setupapi/,ATT&CK Technique: T1218.011: Rundll32
Setupapi.dll,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Setupapi/,ATT&CK Technique: T1218.011: Rundll32
Shdocvw.dll,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Shdocvw/,ATT&CK Technique: T1218.011: Rundll32
